"Teil,""Deckungsmenge"",""KommNr"",""Bedarfsmenge"",""Termin"",""SubRefObj"""
"zk2101081471,""0.0"","""",""6480.0"",""2026-04-17"",""LA-00223478|zk2101081471||0"""
"kas187133113,""0.0"",""V-000216"",""32.0"",""2026-04-19"","""""
"kas194140060,""0.0"",""V-000216"",""32.0"",""2026-04-19"","""""
"zk80040010,""0.0"","""",""102500.0"",""2026-03-30"",""LA-00229565|zk80040010||0"""
"zs20318.22,""0.0"","""",""100000.0"",""2026-03-30"",""LA-00229565|zs20318.22||0"""
"zs203180.22,""100000.0"",""V-010000"",""0.0"",""2026-04-23"","""""
"sprd33404sw,""0.0"","""",""10.0"",""2026-04-19"",""LA-00229566|sprd33404sw||0"""
"zkhuc0095,""0.0"",""V-010000"",""40304.0"",""2026-04-19"",""LA-00229566|zkhuc0095||0"""
"sprd33408sw,""0.0"",""V-010000"",""10.0"",""2026-04-19"",""LA-00229566|sprd33408sw||0"""
"zk80040010,""0.0"","""",""102500.0"",""2026-04-19"",""LA-00229566|zk80040010||0"""
"3775a08.68,""50000.0"",""147208-001000"",""0.0"",""2025-07-24"","""""
"zs20318.22,""0.0"","""",""100000.0"",""2026-04-17"",""LA-00229566|zs20318.22||0"""
"zs203180.22,""100000.0"",""V-010000"",""0.0"",""2026-05-12"","""""
"sprd33404sw,""0.0"","""",""10.0"",""2026-05-06"",""LA-00229567|sprd33404sw||0"""
"zkhuc0095,""0.0"",""V-010000"",""40304.0"",""2026-05-06"",""LA-00229567|zkhuc0095||0"""
"sprd33408sw,""0.0"",""V-010000"",""10.0"",""2026-05-06"",""LA-00229567|sprd33408sw||0"""
"zk00033875,""15000.0"","""",""0.0"",""2025-12-18"","""""
"zs0003387325,""0.0"","""",""15000.0"",""2025-11-25"",""LA-00223237|zs0003387325||0"""
"vpss027,""0.0"","""",""15.0"",""2025-11-25"","""""
"zk80040010,""0.0"","""",""102500.0"",""2026-05-06"",""LA-00229567|zk80040010||0"""
"zk00033875.1,""0.0"","""",""15000.0"",""2025-11-25"",""LA-00223237|zk00033875.1||0"""
"zk20570,""8000.0"",""V-001000"",""0.0"",""2025-08-22"","""""
"zk20570,""8000.0"",""V-001000"",""0.0"",""2025-08-29"","""""
"vpss021,""0.0"",""148099-007500"",""9.0"",""2025-11-03"","""""
"vpfk085,""0.0"",""148099-007500"",""9.0"",""2025-11-03"",""LA-00225097|vpfk085||0"""
"zk20570,""8000.0"",""V-001000"",""0.0"",""2025-09-05"","""""
"3833.95,""30000.0"",""149123-001000"",""0.0"",""2025-11-24"","""""
"zk20570,""8000.0"",""V-001000"",""0.0"",""2025-09-12"","""""
"zk20570,""8000.0"",""V-001000"",""0.0"",""2025-09-19"","""""
"zk20570,""8000.0"",""V-001000"",""0.0"",""2025-09-26"","""""
"zs11603.78,""24000.0"",""V-004000"",""0.0"",""2025-10-23"","""""
"3530a,""0.0"","""",""5000.0"",""2025-07-24"",""ZV-00228460|3530a||1"""
"2021.60,""10000.0"",""V-005000"",""0.0"",""2025-09-02"","""""
"3876c.67,""250.0"",""V-000250"",""0.0"",""2025-07-25"","""""
"3876r06.60,""5000.0"",""113678-000250"",""0.0"",""2025-11-11"","""""
"2021.60,""0.0"","""",""10000.0"",""2025-09-01"",""ZV-00228754|2021.60||1"""
"4506b10.61,""2000.0"",""V-001000"",""0.0"",""2025-07-25"","""""
"x10006018095,""2000.0"",""V-000500"",""0.0"",""2025-07-30"","""""
"zs20494.68,""200000.0"",""V-000500"",""0.0"",""2026-10-26"","""""
"3876c.67,""0.0"","""",""250.0"",""2025-07-24"",""ZV-00228755|3876c.67||1"""
"3876r06.60,""0.0"","""",""5000.0"",""2025-11-10"",""ZV-00228756|3876r06.60||1"""
"4506b10.61,""0.0"","""",""2000.0"",""2025-07-24"",""ZV-00228757|4506b10.61||1"""
"x10006018095,""0.0"","""",""2000.0"",""2025-07-29"",""ZV-00228758|x10006018095||1"""
"460008,""71654.0"","""",""0.0"",""2025-07-22"","""""
"x11097015.47,""500000.0"","""",""0.0"",""2025-09-09"","""""
"zs20174.60,""0.0"","""",""40000.0"",""2025-10-21"","""""
"zs20174.68,""40000.0"","""",""0.0"",""2025-11-04"","""""
"zs20174.60,""0.0"","""",""40000.0"",""2025-07-28"","""""
"zs20174.68,""40000.0"","""",""0.0"",""2025-08-12"","""""
"zs20572.60,""5.0"","""",""0.0"",""2025-08-22"","""""
"zs20573.60,""5.0"","""",""0.0"",""2025-08-22"","""""
"zs20574.60,""5.0"","""",""0.0"",""2025-08-22"","""""
"104808,""1.0"","""",""0.0"",""2025-08-11"","""""
"201,""0.0"","""",""1.0"",""2025-08-08"",""LA-00228922|201||0"""
"203,""0.0"","""",""1.0"",""2025-08-08"",""LA-00228922|203||0"""
"204.5,""0.0"","""",""1.0"",""2025-08-08"",""LA-00228922|204.5||0"""
"205,""0.0"","""",""1.0"",""2025-08-08"",""LA-00228922|205||0"""
"206,""0.0"","""",""1.0"",""2025-08-08"",""LA-00228922|206||0"""
"x40100046.45,""1500000.0"","""",""0.0"",""2025-08-04"","""""
"207,""0.0"","""",""1.0"",""2025-08-08"",""LA-00228922|207||0"""
"208,""0.0"","""",""1.0"",""2025-08-08"",""LA-00228922|208||0"""
