"Teil,""Anzahl"""
"1045l08,""5.0"""
"1045l08.2,""5.0"""
"1045p08.9,""3.0"""
"1045w.14,""3.0"""
"1045w.9,""11.0"""
"1045w05,""2.0"""
"1045w05.2,""10.0"""
"1045w08.2,""8.0"""
"1045z.2,""7.0"""
"1046,""1.0"""
"1046.14,""12.0"""
"1046.2,""24.0"""
"1046.31,""19.0"""
"1046.34,""5.0"""
"1046.9,""15.0"""
"1046a,""2.0"""
"1046a.14,""4.0"""
"1046a.2,""3.0"""
"1046a.9,""1.0"""
"1046b.14,""8.0"""
"1046b.2,""3.0"""
"1046b.34,""3.0"""
"1046b.9,""2.0"""
"1046c,""1.0"""
"1046c.14,""8.0"""
"1046c.2,""10.0"""
"1046c.9,""4.0"""
"1046d.14,""1.0"""
"1046d.31,""10.0"""
"1046d.9,""3.0"""
"1046d1.14,""2.0"""
"1046d1.2,""7.0"""
"1046d1.34,""2.0"""
"1046e,""2.0"""
"1046e.14,""2.0"""
"1046e.2,""2.0"""
"1046e.9,""5.0"""
"1046f.14,""3.0"""
"1046f.2,""1.0"""
"1046f.34,""4.0"""
"1046f.9,""4.0"""
"1046h.14,""3.0"""
"1046h.2,""6.0"""
"1046h.9,""3.0"""
"1046k,""3.0"""
"1046k.14,""3.0"""
"1046k.2,""5.0"""
"1046k.9,""2.0"""
"1046m.14,""3.0"""
"1046m.2,""3.0"""
"1046m.9,""3.0"""
"1046p.14,""3.0"""
"1046p.2,""5.0"""
"1046p.9,""2.0"""
"1046q.14,""2.0"""
"1046q.2,""2.0"""
"1046q.9,""2.0"""
"1046s.14,""5.0"""
"1046s.2,""3.0"""
"1046s.9,""5.0"""
"1046v.14,""2.0"""
"1046v.34,""2.0"""
"1046v.9,""2.0"""
"1046w.14,""3.0"""
"1046w.2,""5.0"""
"1046w.9,""2.0"""
"1046y.14,""2.0"""
"1046y.34,""3.0"""
"1046y.9,""2.0"""
"1047.14,""6.0"""
"1047.9,""10.0"""
"104705,""2.0"""
"104705.2,""9.0"""
"104708.2,""6.0"""
"1047q.14,""1.0"""
"1047q.2,""1.0"""
"1047q.9,""1.0"""
"1048.14,""6.0"""
"1048.34,""9.0"""
"1048.9,""5.0"""
"104805.2,""4.0"""
"104808.2,""8.0"""
"1048k.14,""3.0"""
"1048k.2,""5.0"""
"1048k.9,""3.0"""
"1048l,""1.0"""
"1048l.14,""3.0"""
"1048l.2,""4.0"""
"1048l.9,""3.0"""
"1048p.2,""2.0"""
"1049.14,""3.0"""
"1049.2,""3.0"""
"1049.9,""2.0"""
"1049b.14,""2.0"""
"1049b.2,""6.0"""
"1049b.34,""6.0"""
"1049b.9,""4.0"""
"1049c.14,""7.0"""
"1049c.2,""5.0"""
"1049c.9,""3.0"""
"1049g.14,""6.0"""
"1049g.2,""1.0"""
"1049g.9,""1.0"""
"1049l,""2.0"""
"1049l.14,""3.0"""
"1049l.2,""10.0"""
"1049l.9,""3.0"""
"1049t.2,""1.0"""
"1050.14,""21.0"""
"1050.2,""5.0"""
"1050.34,""4.0"""
"1050.9,""1.0"""
"105006.2,""4.0"""
"1050b.2,""1.0"""
"1050d,""2.0"""
"1050d.14,""2.0"""
"1050d.2,""5.0"""
"1050d.9,""5.0"""
"1050f.14,""3.0"""
"1050f.2,""5.0"""
"1050f.9,""3.0"""
"1050k,""3.0"""
"1050k.14,""1.0"""
"1050k.2,""5.0"""
"1050k.9,""3.0"""
"1050l,""2.0"""
"1050l.14,""2.0"""
"1050l.2,""5.0"""
"1050l.9,""4.0"""
"1050l08.14,""3.0"""
"1050s.2,""1.0"""
"1050s.9,""1.0"""
"1050w,""2.0"""
"1050w.14,""5.0"""
"1050w.2,""7.0"""
"1050w.9,""2.0"""
"1051.14,""14.0"""
"1051.34,""5.0"""
"1051.9,""9.0"""
"105105.2,""4.0"""
"105108.2,""23.0"""
"1051a.2,""2.0"""
"1051b.14,""1.0"""
"1051b.34,""1.0"""
"1051b.9,""1.0"""
"1051d.31,""5.0"""
"1051g.2,""1.0"""
"1051k.9,""3.0"""
"1051k05.2,""5.0"""
"1051k08.2,""3.0"""
"1051l,""2.0"""
"1051l.9,""3.0"""
"1051m,""2.0"""
"1051m.14,""9.0"""
"1051m.2,""1.0"""
"1051m.9,""5.0"""
"1051q.14,""3.0"""
"1051q.9,""3.0"""
"1051q05.2,""3.0"""
"1051s.14,""2.0"""
"1051s.34,""3.0"""
"1051t.14,""3.0"""
"1051t.2,""4.0"""
"1051t.9,""2.0"""
"1053.20,""63500.0"""
"1053.28,""22000.0"""
"1053.60,""4435.0"""
"1053.68,""18910.0"""
"1054a.20,""66000.0"""
"1054a.21,""15485.0"""
"1054a.28,""2740.0"""
"1054a.60,""6280.0"""
"1054a.61,""13653.0"""
"1054a.68,""39005.0"""
"1054t.68,""4180.0"""
"1055k.60,""20300.0"""
"1055l.20,""3200.0"""
"1055l.28,""9000.0"""
"1056.28,""565.0"""
"1056.60,""15400.0"""
"1056.61,""10600.0"""
"1056.65,""8960.0"""
"1056.68,""61965.0"""
"1056b.68,""16179.0"""
"1057n.65,""60.0"""
"1058.60,""22310.0"""
"1059.68,""940.0"""
"1059g.40,""8400.0"""
"1059l08.40,""1085.0"""
"1059l08.48,""150.0"""
"1059l10.40,""477.0"""
"1059l14.40,""482.0"""
"1059l16.40,""113.0"""
"1061.14,""3.0"""
"1061.9,""3.0"""
"106105.2,""5.0"""
"1062.14,""8.0"""
"1062.34,""2.0"""
"1062.9,""1.0"""
"106205.2,""8.0"""
"106208.2,""4.0"""
"1062d.9,""2.0"""
"1062d08.2,""3.0"""
"1062f08.2,""2.0"""
"1062f08.34,""2.0"""
"1062f08.9,""1.0"""
"1065115.68,""200.0"""
"1066232.62,""370.0"""
"1066336.68,""1443.0"""
"1066604.68,""8.0"""
"1067.60,""476.0"""
"1070.60,""13670.0"""
"1070.68,""870.0"""
"1073.68,""845.0"""
"1075.68,""4150.0"""
"1076202.68,""10031.0"""
"1076304.68,""10497.0"""
"1076336.68,""139.0"""
"1080a.60,""339975.0"""
"1080a.61,""6298.0"""
"1080a.68,""1925.0"""
"1080b.60,""234000.0"""
"1080b.62,""2000.0"""
"1080b.68,""5280.0"""
"1080c.60,""112750.0"""
"1080c.61,""15823.0"""
"1080c.68,""33470.0"""
"1080f.60,""54060.0"""
"1080g.68,""32500.0"""
"1080h.60,""729625.0"""
"1080h.61,""53557.0"""
"1080h.68,""236900.0"""
"1080k.68,""4190.0"""
"1080m.60,""11160.0"""
"1080m.61,""12741.0"""
"1080m08.68,""13890.0"""
"1080p.60,""160000.0"""
"1080p.61,""50.0"""
"1080p.68,""97200.0"""
"1080q.60,""206630.0"""
"1080q.68,""38870.0"""
"1080r.60,""26723.0"""
"1080r.68,""1514.0"""
"1080s.60,""116700.0"""
"1080s.68,""33290.0"""
"1080t.60,""84600.0"""
"1080t.68,""5263.0"""
"1080v.60,""35100.0"""
"1080v.68,""16230.0"""
"1080w.60,""88500.0"""
"1080w.68,""4935.0"""
"1080x.60,""84340.0"""
"1080x.68,""105975.0"""
"1080y.68,""1560.0"""
"1080z.20,""2485.0"""
"1080z.22,""5328.0"""
"1081b.60,""5248.0"""
"1081b.68,""1365.0"""
"1081c.68,""1518.0"""
"1081d.98,""2555.0"""
"1081e.68,""344.0"""
"1081f.68,""26742.0"""
"1081k.68,""11500.0"""
"1081l.68,""6195.0"""
"1081m.60,""43100.0"""
"1081m.68,""4430.0"""
"1081p.68,""11000.0"""
"1081t.68,""100.0"""
"1082a.60,""106180.0"""
"1082a.67,""195585.0"""
"1095a.60,""50200.0"""
"1095a.68,""5770.0"""
"1095c.60,""7000.0"""
"1095d.60,""105500.0"""
"1095d.68,""2000.0"""
"1095e.68,""1340.0"""
"1095g.68,""15497.0"""
"1096a.95,""547.0"""
"109802,""303.0"""
"109842,""9299.0"""
"109843,""4998.0"""
"1098a.68,""32500.0"""
"1098d.68,""774.0"""
"1098f.60,""40200.0"""
"1098l.68,""380.0"""
"1098q.68,""110.0"""
"1098r.60,""29750.0"""
"1098s.48,""4000.0"""
"1098t.68,""3092.0"""
"1098u.60,""505150.0"""
"1098u.68,""14553.0"""
"1098w.60,""53499.0"""
"1098w.68,""970.0"""
"1099b.68,""11975.0"""
"1099d.68,""7390.0"""
"1099k.60,""79500.0"""
"1099k.68,""10000.0"""
"1099l.61,""5868.0"""
"1099l.68,""2040.0"""
"1099r.25,""1832.0"""
"1099s.20,""47500.0"""
"1099s.22,""49902.0"""
"1099t.68,""79154.0"""
"1099w.20,""10121.0"""
"1099w.22,""695.0"""
"1099w.25,""2114.0"""
"1099y.68,""10735.0"""
"11,""8.0"""
"1121.61,""21130.0"""
"1136c.60,""20000.0"""
"1136c.62,""465.0"""
"1136e.66,""497.0"""
"1139m.61,""104.0"""
"1145.60,""30995.0"""
"1145.68,""2700.0"""
"1154.60,""10000.0"""
"1156.60,""15000.0"""
"1164.40,""40000.0"""
"1164.41,""1000.0"""
"1164.48,""33000.0"""
"1164.60,""20000.0"""
"1164.61,""93.0"""
"1164.68,""7840.0"""
"1167.68,""5990.0"""
"1174.48,""166500.0"""
"1174.60,""340000.0"""
"1184.40,""86000.0"""
"1184.42,""960.0"""
"1185.48,""1780.0"""
"1186.68,""2890.0"""
"1194.60,""100000.0"""
"1194.68,""20300.0"""
"12,""14.0"""
"1202.68,""3450.0"""
"1210.68,""1000.0"""
"1243.60,""36331.0"""
"1245.68,""1100.0"""
"1250.68,""11430.0"""
"1250b.68,""2153.0"""
"1256.60,""37800.0"""
"1256c.60,""50610.0"""
"1256c.61,""6369.0"""
"1264b.60,""27000.0"""
"1290.60,""74750.0"""
"1320.60,""19575.0"""
"1334.28,""795.0"""
"1334d.20,""1163.0"""
"1334h.28,""2652.0"""
"1335.20,""97960.0"""
"1335.21,""1360.0"""
"1335l.20,""10970.0"""
"1338.68,""77047.0"""
"1338a.68,""158085.0"""
"1339.28,""6060.0"""
"1341.68,""23740.0"""
"1341a.28,""56000.0"""
"1341d.21,""7126.0"""
"1341k.28,""3510.0"""
"1341k.70,""7595.0"""
"1341k.72,""647.0"""
"1341kn.20,""8349.0"""
"1341p.70,""41224.0"""
"1341r.28,""5662.0"""
"1341z.70,""13495.0"""
"1341z.71,""925.0"""
"1342b.20,""76460.0"""
"1342b.21,""64266.0"""
"1342c.68,""7412.0"""
"1343.70,""15042.0"""
"1344a.21,""4947.0"""
"1344a.28,""26809.0"""
"1345.20,""38300.0"""
"1345.21,""17708.0"""
"1345.28,""106560.0"""
"1345a.28,""3306.0"""
"1345g.28,""15800.0"""
"1345k.28,""5148.0"""
"1346.20,""49540.0"""
"1347.68,""4290.0"""
"1351.68,""8940.0"""
"1359.60,""92185.0"""
"1360.20,""14000.0"""
"1360.21,""1652.0"""
"1360.2205,""1350.0"""
"1360.28,""32722.0"""
"1361.60,""218210.0"""
"1361.61,""681.0"""
"1361.62,""4061.0"""
"1361.65,""8476.0"""
"1361.68,""19443.0"""
"1364a.60,""153680.0"""
"1364a.62,""14964.0"""
"1364a.65,""5840.0"""
"1364a.68,""103890.0"""
"1364b.60,""123800.0"""
"1364b.61,""51420.0"""
"1364b.62,""15720.0"""
"1364b.68,""314525.0"""
"1364c.60,""87600.0"""
"1364c.62,""9500.0"""
"1364c.68,""43440.0"""
"1364d.62,""19960.0"""
"1364d.65,""13960.0"""
"1364d.68,""165295.0"""
"1364e.60,""298700.0"""
"1364e.61,""2849.0"""
"1364e.68,""106617.0"""
"1364f.61,""197.0"""
"1364f.65,""3060.0"""
"1364f.68,""53999.0"""
"1364g.60,""178960.0"""
"1364g.61,""36826.0"""
"1364g.65,""6200.0"""
"1364g.68,""26949.0"""
"1364h.61,""9490.0"""
"1364h.62,""4630.0"""
"1364h.68,""145826.0"""
"1364k.60,""93780.0"""
"1364k.61,""40365.0"""
"1364k.68,""14286.0"""
"1364l.60,""56980.0"""
"1364p.61,""68765.0"""
"1364p.68,""81460.0"""
"1364q.68,""190906.0"""
"1364r.60,""10200.0"""
"1364r.65,""4000.0"""
"1364r.68,""236645.0"""
"1364s.60,""655900.0"""
"1364s.68,""143139.0"""
"1364t.61,""9950.0"""
"1364t.68,""198223.0"""
"1364u.60,""117060.0"""
"1364u.68,""45691.0"""
"1364v.60,""264200.0"""
"1364v.68,""97595.0"""
"1364w.62,""53922.0"""
"1364x.68,""36427.0"""
"1364z.68,""10630.0"""
"1365.60,""51800.0"""
"1365.68,""79535.0"""
"1365a.60,""448800.0"""
"1365a.61,""15493.0"""
"1365a.62,""4470.0"""
"1365a.65,""7289.0"""
"1365a.68,""131739.0"""
"1365b.60,""384360.0"""
"1365b.61,""95826.0"""
"1365b.62,""19980.0"""
"1365b.68,""44312.0"""
"1365c.61,""3973.0"""
"1365c.68,""134679.0"""
"1365d.68,""551955.0"""
"1365e.60,""200150.0"""
"1365e.61,""76021.0"""
"1365e.68,""59738.0"""
"1365f.68,""72730.0"""
"1365g.60,""31700.0"""
"1365l.61,""69245.0"""
"1365l.68,""91170.0"""
"1365m.60,""33970.0"""
"1365m.61,""11982.0"""
"1365m.68,""7880.0"""
"1365n.68,""13860.0"""
"1365q.61,""8856.0"""
"1365q.68,""4074.0"""
"1366b.64,""7098.0"""
"1366c.62,""1422.0"""
"1366e.68,""2320.0"""
"1366p.68,""58415.0"""
"1366q.68,""7263.0"""
"1366r.68,""14292.0"""
"1369.60,""5388.0"""
"1397.80,""87490.0"""
"14,""11.0"""
"14.1,""8.0"""
"1404.90,""4690.0"""
"1407.60,""4800.0"""
"1444.60,""7000.0"""
"14552.65,""174537.0"""
"1455c,""23745.0"""
"1455e,""35748.0"""
"1456a.98,""38750.0"""
"1456c,""512.0"""
"1456c.98,""27350.0"""
"1456f.98,""35174.0"""
